               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12613,            0.040149,                   0,                   0,                   0,                   0,                   0,             0.12794,            0.025736,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12552,             0.03494,                   0,          0.00047619,              0.0625,          0.00045753,          9.1505e-05,             0.12443,            0.026318,                   0,            0.097297,          0.00029703,          0.00029703
                   2,               0.125,            0.036273,                   0,          0.00047619,              0.0625,          0.00034536,          0.00013814,             0.12079,            0.026806,                   0,             0.09549,           0.0004901,           0.0004901
                   3,             0.12179,             0.03873,                   0,                   0,                   0,                   0,                   0,             0.11684,            0.027519,                   0,            0.093679,          0.00067921,          0.00067921
                   4,             0.12042,            0.039912,                   0,          0.00095238,               0.125,          0.00067639,          0.00014805,             0.11177,            0.028492,                   0,            0.091864,          0.00086436,          0.00086436
                   5,             0.11519,             0.03605,                   0,          0.00047619,              0.0625,          0.00034799,           0.0001044,             0.10692,            0.028915,                   0,            0.090046,           0.0010455,           0.0010455
                   6,             0.11422,             0.04116,                   0,           0.0019048,                0.25,           0.0018172,          0.00027788,             0.10359,            0.029373,                   0,            0.088223,           0.0012228,           0.0012228
                   7,             0.11071,            0.036609,                   0,          0.00047619,              0.0625,          0.00027969,          0.00011188,              0.1032,             0.02916,                   0,            0.086396,            0.001396,            0.001396
                   8,             0.10686,            0.034604,                   0,          0.00095238,               0.125,           0.0015851,           0.0002903,             0.10225,            0.029015,                   0,            0.084565,           0.0015654,           0.0015654
                   9,             0.10572,            0.038888,                   0,          0.00095238,               0.125,           0.0012062,          0.00027806,             0.10003,            0.029343,                   0,            0.082731,           0.0017307,           0.0017307
                  10,             0.10717,            0.036901,                   0,          0.00047619,              0.0625,           0.0010662,          0.00042647,             0.09769,              0.0298,                   0,            0.080892,           0.0018921,           0.0018921
                  11,              0.1036,            0.038605,                   0,          0.00095238,               0.125,            0.002009,          0.00038975,            0.095316,            0.029945,                   0,             0.07905,           0.0020495,           0.0020495
                  12,             0.10661,            0.038515,                   0,            0.002381,              0.3125,           0.0028343,          0.00067516,            0.092705,            0.030319,                   0,            0.077203,            0.002203,            0.002203
                  13,             0.10133,            0.040866,                   0,           0.0019048,                0.25,           0.0023721,          0.00057511,            0.091575,            0.030159,                   0,            0.075353,           0.0023525,           0.0023525
                  14,            0.098814,            0.038092,                   0,            0.002381,              0.3125,           0.0017815,          0.00060252,             0.09188,             0.02948,                   0,            0.073498,           0.0024981,           0.0024981
                  15,            0.098361,            0.039093,                   0,           0.0033333,              0.4375,           0.0025783,          0.00076442,             0.08911,            0.030037,                   0,             0.07164,           0.0026396,           0.0026396
                  16,            0.093033,             0.03733,                   0,           0.0028571,               0.375,           0.0029411,           0.0012471,            0.086261,            0.030502,                   0,            0.069777,           0.0027773,           0.0027773
                  17,            0.093341,            0.038543,                   0,           0.0028571,               0.375,           0.0029213,           0.0011068,            0.085745,            0.029991,                   0,            0.067911,           0.0029109,           0.0029109
                  18,            0.091511,             0.03696,                   0,           0.0033333,              0.4375,            0.005274,           0.0017397,            0.084598,             0.02964,                   0,            0.066041,           0.0030407,           0.0030407
                  19,            0.092483,            0.036663,                   0,           0.0052381,              0.6875,            0.014027,           0.0034946,            0.081313,            0.030083,                   0,            0.064166,           0.0031664,           0.0031664
                  20,            0.092474,            0.043883,                   0,           0.0057143,                0.75,            0.029497,           0.0082616,            0.080739,            0.029594,                   0,            0.062288,           0.0032882,           0.0032882
                  21,            0.086872,            0.040559,                   0,            0.007619,                   1,             0.12896,            0.040303,            0.075339,            0.030045,                   0,            0.060406,            0.003406,            0.003406
                  22,            0.086235,            0.042864,                   0,           0.0071429,              0.9375,             0.10623,            0.030737,            0.079043,            0.028366,                   0,             0.05852,           0.0035199,           0.0035199
                  23,             0.08549,            0.038838,                   0,           0.0071429,              0.9375,             0.14579,            0.036576,            0.071362,            0.029175,                   0,             0.05663,           0.0036298,           0.0036298
                  24,            0.086753,            0.036179,                   0,           0.0071429,              0.9375,             0.11128,            0.033969,            0.077902,            0.026402,                   0,            0.054736,           0.0037358,           0.0037358
                  25,            0.077532,            0.030429,                   0,           0.0071429,              0.9375,             0.21666,            0.059591,            0.069026,            0.027855,                   0,            0.052838,           0.0038378,           0.0038378
                  26,            0.081924,            0.040862,                   0,            0.007619,                   1,             0.12762,             0.02719,            0.084488,            0.022381,                   0,            0.050936,           0.0039358,           0.0039358
                  27,            0.081196,            0.033747,                   0,            0.007619,                   1,             0.12762,             0.02719,            0.084488,            0.022381,                   0,             0.04903,           0.0040299,           0.0040299
                  28,            0.078491,            0.037078,                   0,             0.21383,             0.78225,             0.47541,             0.16959,            0.065179,            0.026184,                   0,             0.04712,             0.00412,             0.00412
                  29,            0.076653,            0.038728,                   0,             0.07974,                0.75,              0.1225,            0.034537,            0.084559,            0.020153,                   0,            0.045206,           0.0042061,           0.0042061
                  30,            0.082956,            0.031917,                   0,             0.07974,                0.75,              0.1225,            0.034537,            0.084559,            0.020153,                   0,            0.043288,           0.0042883,           0.0042883
                  31,            0.078178,            0.038511,                   0,             0.39883,              0.6875,             0.48217,             0.16126,            0.064342,            0.023819,                   0,            0.041367,           0.0043665,           0.0043665
                  32,            0.072912,            0.036357,                   0,            0.074727,                 0.5,            0.074887,            0.023333,            0.084868,            0.017704,                   0,            0.039441,           0.0044408,           0.0044408
                  33,            0.077499,            0.023516,                   0,            0.074727,                 0.5,            0.074887,            0.023333,            0.084868,            0.017704,                   0,            0.037511,           0.0045111,           0.0045111
                  34,            0.075256,            0.036221,                   0,             0.51521,              0.5625,             0.50775,             0.15997,            0.063388,            0.021324,                   0,            0.035577,           0.0045775,           0.0045775
                  35,            0.072346,             0.03225,                   0,             0.38131,              0.5625,             0.38169,             0.14405,            0.073708,            0.017803,                   0,             0.03364,           0.0046399,           0.0046399
                  36,            0.072988,            0.032012,                   0,             0.38131,              0.5625,             0.38169,             0.14405,            0.073708,            0.017803,                   0,            0.031698,           0.0046983,           0.0046983
                  37,            0.072193,            0.025817,                   0,             0.47064,              0.5625,             0.49447,             0.13684,            0.063467,             0.01899,                   0,            0.029753,           0.0047528,           0.0047528
                  38,            0.068499,            0.023496,                   0,             0.32291,              0.6875,             0.35823,            0.098399,            0.065487,            0.018108,                   0,            0.027803,           0.0048033,           0.0048033
                  39,            0.069834,            0.031772,                   0,             0.32291,              0.6875,             0.35823,            0.098399,            0.065487,            0.018108,                   0,             0.02585,           0.0048498,           0.0048498
                  40,            0.065354,            0.028619,                   0,             0.41076,                 0.5,             0.44133,             0.14111,            0.067309,            0.017326,                   0,            0.023892,           0.0048924,           0.0048924
                  41,            0.064686,            0.030301,                   0,             0.56586,             0.40867,             0.51524,             0.19311,             0.07592,            0.016384,                   0,            0.021931,            0.004931,            0.004931
