hand to marker: 0.10
timestamp dist x y z rx ry rz
64.792 0.331 0.0112 -0.0641 0.3248 -0.4623 -0.0896 1.1358 
64.827 0.331 0.0105 -0.0638 0.3244 -0.4666 -0.0872 1.1354 
64.858 0.331 0.0100 -0.0637 0.3247 -0.4599 -0.0888 1.1361 
64.892 0.330 0.0095 -0.0633 0.3238 -0.4584 -0.0961 1.1349 
76.224 0.333 0.0265 -0.0718 0.3245 -0.4701 -0.0486 1.2185 
76.258 0.332 0.0267 -0.0716 0.3234 -0.4675 -0.0478 1.2169 
76.290 0.334 0.0271 -0.0719 0.3248 -0.4640 -0.0516 1.2192 
76.323 0.333 0.0274 -0.0719 0.3240 -0.4668 -0.0501 1.2165 
82.092 0.317 0.0227 -0.0723 0.3073 -0.4122 -0.0647 1.2110 
82.122 0.316 0.0231 -0.0719 0.3064 -0.4164 -0.0670 1.2076 
82.155 0.316 0.0235 -0.0716 0.3064 -0.4160 -0.0655 1.2096 
82.189 0.316 0.0238 -0.0716 0.3072 -0.4192 -0.0655 1.2096 
86.756 0.310 0.0206 -0.0639 0.3026 -0.4581 -0.1647 1.2210 
86.788 0.312 0.0220 -0.0652 0.3040 -0.4670 -0.1656 1.2208 
86.822 0.314 0.0237 -0.0673 0.3055 -0.4724 -0.1671 1.2331 
86.855 0.316 0.0257 -0.0702 0.3070 -0.4782 -0.1748 1.2489 
91.922 0.318 0.0237 -0.0856 0.3054 -0.3591 -0.0520 1.3107 
91.955 0.319 0.0246 -0.0857 0.3060 -0.3680 -0.0459 1.3131 
91.988 0.321 0.0260 -0.0865 0.3081 -0.3643 -0.0445 1.3178 
92.021 0.323 0.0280 -0.0880 0.3093 -0.3760 -0.0432 1.3210 
97.986 0.323 0.0201 -0.0794 0.3122 -0.3767 -0.1204 1.2554 
98.019 0.323 0.0203 -0.0793 0.3120 -0.3761 -0.1172 1.2490 
98.053 0.321 0.0203 -0.0790 0.3107 -0.3841 -0.1216 1.2500 
103.754 0.314 -0.0119 -0.0782 0.3036 -0.4043 -0.0803 1.2826 
103.787 0.315 -0.0118 -0.0781 0.3048 -0.3955 -0.0842 1.2847 
103.819 0.314 -0.0118 -0.0776 0.3040 -0.4115 -0.0763 1.2806 
103.857 0.314 -0.0117 -0.0776 0.3040 -0.4097 -0.0769 1.2833 
109.585 0.324 -0.0032 -0.0700 0.3159 -0.3516 0.1330 1.2164 
109.616 0.322 -0.0030 -0.0694 0.3146 -0.3593 0.1382 1.2160 
109.650 0.323 -0.0027 -0.0693 0.3155 -0.3535 0.1421 1.2146 
109.683 0.323 -0.0024 -0.0692 0.3159 -0.3539 0.1299 1.2152 
115.849 0.281 -0.0103 -0.0639 0.2731 -0.4153 0.0115 1.2263 
115.882 0.281 -0.0100 -0.0637 0.2731 -0.4116 0.0122 1.2258 
115.917 0.282 -0.0099 -0.0638 0.2741 -0.4085 0.0110 1.2286 
115.948 0.282 -0.0097 -0.0636 0.2742 -0.4034 0.0156 1.2298 
124.515 0.280 0.0256 -0.0688 0.2705 -0.3297 -0.1566 1.2844 
124.548 0.280 0.0261 -0.0685 0.2704 -0.3337 -0.1599 1.2835 
124.583 0.280 0.0265 -0.0682 0.2704 -0.3295 -0.1599 1.2822 
124.616 0.281 0.0271 -0.0681 0.2710 -0.3327 -0.1604 1.2844 
124.649 0.282 0.0277 -0.0681 0.2724 -0.3249 -0.1545 1.2807 
133.147 0.277 0.0161 -0.0679 0.2678 -0.3785 -0.0551 1.1969 
133.178 0.278 0.0162 -0.0684 0.2689 -0.3710 -0.0546 1.2008 
133.213 0.277 0.0163 -0.0683 0.2679 -0.3768 -0.0611 1.1974 
133.248 0.277 0.0165 -0.0682 0.2677 -0.3772 -0.0579 1.1991 
133.279 0.277 0.0166 -0.0682 0.2679 -0.3721 -0.0644 1.1999 
140.177 0.283 0.0136 -0.0761 0.2718 -0.3310 -0.1878 1.2476 
140.211 0.281 0.0129 -0.0744 0.2711 -0.3357 -0.1879 1.2394 
140.247 0.280 0.0126 -0.0729 0.2699 -0.3453 -0.1718 1.2320 
140.279 0.279 0.0129 -0.0716 0.2692 -0.3523 -0.1632 1.2249 
149.210 0.274 0.0317 -0.0451 0.2683 -0.3836 -0.2215 1.2198 
149.246 0.282 0.0437 -0.0392 0.2760 -0.3858 -0.2391 1.2182 
149.276 0.290 0.0576 -0.0311 0.2827 -0.3809 -0.2745 1.1996 
149.310 0.306 0.0749 -0.0216 0.2957 -0.3899 -0.3093 1.1799 
