hand to marker: 0.10
timestamp dist x y z rx ry rz
51.806 0.210 -0.0040 -0.0400 0.2060 -0.2115 -0.0882 1.1815 
51.839 0.211 -0.0040 -0.0402 0.2068 -0.2205 -0.0916 1.1795 
51.874 0.212 -0.0041 -0.0408 0.2076 -0.2138 -0.0849 1.1837 
58.571 0.235 -0.0239 -0.0587 0.2262 -0.1917 -0.1304 1.2473 
58.605 0.235 -0.0229 -0.0565 0.2268 -0.1945 -0.1342 1.2358 
58.637 0.235 -0.0217 -0.0541 0.2274 -0.2004 -0.1397 1.2242 
58.671 0.234 -0.0202 -0.0516 0.2277 -0.1988 -0.1275 1.2170 
64.705 0.244 -0.0109 -0.0430 0.2402 -0.1516 -0.0784 1.2359 
64.736 0.243 -0.0101 -0.0431 0.2392 -0.1765 -0.0630 1.2336 
64.770 0.243 -0.0093 -0.0436 0.2385 -0.2012 -0.0500 1.2392 
64.804 0.243 -0.0086 -0.0445 0.2389 -0.1804 -0.0622 1.2436 
64.836 0.243 -0.0082 -0.0452 0.2387 -0.1774 -0.0598 1.2505 
70.802 0.255 -0.0132 -0.0533 0.2494 -0.1741 -0.1219 1.2373 
70.836 0.255 -0.0125 -0.0528 0.2490 -0.1630 -0.1255 1.2397 
70.870 0.254 -0.0119 -0.0521 0.2484 -0.1643 -0.1031 1.2406 
70.902 0.253 -0.0113 -0.0512 0.2473 -0.1786 -0.1159 1.2348 
76.369 0.257 -0.0215 -0.0503 0.2510 -0.1837 -0.1167 1.2199 
76.400 0.258 -0.0214 -0.0497 0.2519 -0.1496 -0.1225 1.2221 
76.435 0.256 -0.0214 -0.0487 0.2509 -0.1654 -0.1090 1.2174 
76.469 0.257 -0.0217 -0.0477 0.2518 -0.1450 -0.1266 1.2137 
76.502 0.257 -0.0219 -0.0470 0.2514 -0.1809 -0.1109 1.2098 
81.266 0.257 -0.0276 -0.0498 0.2510 -0.1660 -0.1292 1.2322 
81.299 0.258 -0.0293 -0.0499 0.2515 -0.1686 -0.1304 1.2289 
81.333 0.258 -0.0306 -0.0496 0.2512 -0.1609 -0.1212 1.2276 
81.368 0.258 -0.0313 -0.0492 0.2516 -0.1599 -0.1346 1.2253 
81.400 0.258 -0.0313 -0.0484 0.2513 -0.1604 -0.1253 1.2178 
86.798 0.254 -0.0147 -0.0382 0.2512 -0.1481 -0.1303 1.2066 
86.831 0.254 -0.0150 -0.0381 0.2509 -0.1612 -0.1209 1.2053 
86.866 0.255 -0.0152 -0.0383 0.2517 -0.1441 -0.1329 1.2065 
86.898 0.254 -0.0153 -0.0382 0.2509 -0.1682 -0.1087 1.2076 
91.764 0.248 -0.0245 -0.0444 0.2427 -0.1610 -0.1562 1.2301 
91.798 0.247 -0.0245 -0.0442 0.2419 -0.1885 -0.1217 1.2273 
91.830 0.247 -0.0244 -0.0441 0.2414 -0.1938 -0.1068 1.2272 
91.866 0.247 -0.0245 -0.0440 0.2416 -0.1965 -0.1255 1.2235 
91.898 0.249 -0.0249 -0.0441 0.2434 -0.1527 -0.1532 1.2304 
96.097 0.248 -0.0110 -0.0510 0.2421 -0.2052 -0.0966 1.2238 
96.129 0.249 -0.0107 -0.0510 0.2431 -0.1747 -0.0925 1.2270 
96.163 0.248 -0.0104 -0.0506 0.2427 -0.2002 -0.0956 1.2252 
96.198 0.249 -0.0102 -0.0502 0.2433 -0.1816 -0.0994 1.2225 
96.230 0.249 -0.0099 -0.0498 0.2440 -0.1812 -0.1053 1.2232 
101.034 0.252 -0.0180 -0.0455 0.2474 -0.2147 -0.1251 1.2000 
