hand to marker: 0.10
timestamp dist x y z rx ry rz
106.841 0.258 -0.0100 -0.0197 0.2573 -0.6058 -0.3066 1.3477 
106.875 0.259 -0.0101 -0.0197 0.2576 -0.6100 -0.3006 1.3427 
106.906 0.260 -0.0102 -0.0198 0.2589 -0.6060 -0.2955 1.3463 
106.940 0.259 -0.0101 -0.0198 0.2582 -0.6060 -0.2939 1.3440 
106.972 0.259 -0.0101 -0.0199 0.2577 -0.6128 -0.2902 1.3441 
119.172 0.247 -0.0229 -0.0197 0.2455 -0.5383 -0.4629 1.3634 
119.207 0.247 -0.0215 -0.0195 0.2449 -0.5377 -0.4742 1.3699 
119.237 0.247 -0.0207 -0.0196 0.2453 -0.5351 -0.4786 1.3722 
119.272 0.247 -0.0204 -0.0196 0.2450 -0.5365 -0.4712 1.3707 
151.731 0.263 -0.0170 -0.0462 0.2587 -0.9263 -0.0816 1.1551 
169.428 0.286 -0.0450 -0.0433 0.2790 -0.9443 -0.0865 1.1092 
169.463 0.287 -0.0456 -0.0431 0.2797 -0.9432 -0.0831 1.1059 
169.497 0.286 -0.0458 -0.0427 0.2791 -0.9410 -0.0761 1.1045 
169.531 0.288 -0.0459 -0.0430 0.2812 -0.9331 -0.0802 1.1077 
187.825 0.261 -0.0184 -0.0447 0.2564 -1.0240 -0.1383 1.1128 
187.925 0.261 -0.0198 -0.0457 0.2564 -1.0143 -0.1526 1.1089 
196.391 0.261 -0.0156 -0.0408 0.2575 -0.9577 -0.2516 1.1869 
196.457 0.258 -0.0157 -0.0408 0.2547 -0.9626 -0.2544 1.1725 
204.456 0.253 -0.0224 -0.0299 0.2505 -0.9390 -0.1367 1.2570 
215.189 0.271 -0.0247 -0.0233 0.2690 -0.8635 -0.1385 1.2293 
215.253 0.273 -0.0217 -0.0267 0.2712 -0.8730 -0.1476 1.2533 
215.286 0.275 -0.0201 -0.0289 0.2723 -0.8707 -0.1638 1.2715 
231.085 0.301 -0.0227 -0.0350 0.2982 -0.8642 -0.2551 1.2724 
231.117 0.300 -0.0218 -0.0332 0.2975 -0.8687 -0.2598 1.2619 
231.184 0.303 -0.0192 -0.0309 0.3010 -0.8718 -0.2532 1.2529 
240.781 0.272 -0.0085 -0.0292 0.2706 -0.9214 -0.2500 1.2452 
240.816 0.278 -0.0072 -0.0276 0.2766 -0.8923 -0.2587 1.2451 
240.851 0.275 -0.0060 -0.0252 0.2742 -0.9071 -0.2507 1.2439 
240.882 0.281 -0.0054 -0.0242 0.2797 -0.8858 -0.2547 1.2510 
240.916 0.283 -0.0053 -0.0240 0.2818 -0.8927 -0.2334 1.2536 
250.612 0.273 -0.0211 -0.0432 0.2692 -0.8634 -0.1122 1.2599 
250.647 0.271 -0.0203 -0.0436 0.2672 -0.8688 -0.1178 1.2680 
250.713 0.274 -0.0177 -0.0449 0.2698 -0.8747 -0.1239 1.2645 
250.746 0.278 -0.0166 -0.0449 0.2736 -0.8630 -0.1210 1.2827 
259.079 0.262 -0.0188 -0.0327 0.2596 -0.8922 -0.1886 1.2505 
259.145 0.266 -0.0181 -0.0320 0.2633 -0.8714 -0.2080 1.2509 
