hand to marker: 0.10
timestamp dist x y z rx ry rz
51.081 0.398 -0.0477 -0.0665 0.3891 -0.6294 -0.3536 1.1274 
51.115 0.397 -0.0474 -0.0666 0.3884 -0.6274 -0.3602 1.1293 
60.848 0.399 -0.0355 -0.0774 0.3899 -0.6694 -0.4832 1.1745 
60.880 0.399 -0.0354 -0.0772 0.3896 -0.6652 -0.4837 1.1727 
60.914 0.397 -0.0353 -0.0768 0.3875 -0.6842 -0.4799 1.1726 
60.947 0.400 -0.0356 -0.0772 0.3905 -0.6638 -0.4832 1.1714 
60.979 0.398 -0.0357 -0.0771 0.3891 -0.6806 -0.4632 1.1750 
68.478 0.422 -0.0614 -0.0644 0.4122 -0.5947 -0.3816 1.1513 
68.512 0.422 -0.0615 -0.0647 0.4129 -0.5809 -0.3923 1.1490 
68.547 0.421 -0.0613 -0.0647 0.4119 -0.5845 -0.3893 1.1488 
68.611 0.422 -0.0611 -0.0649 0.4124 -0.5918 -0.3851 1.1496 
80.342 0.428 -0.0203 -0.0856 0.4194 -0.6861 -0.4746 1.1968 
80.409 0.428 -0.0205 -0.0858 0.4188 -0.6917 -0.4699 1.1967 
80.443 0.428 -0.0206 -0.0860 0.4188 -0.6861 -0.4723 1.1985 
89.840 0.405 -0.0302 -0.0785 0.3963 -0.5949 -0.3883 1.1314 
89.876 0.404 -0.0300 -0.0784 0.3951 -0.5964 -0.3933 1.1268 
89.909 0.402 -0.0300 -0.0783 0.3931 -0.5953 -0.3904 1.1302 
89.941 0.406 -0.0305 -0.0795 0.3968 -0.5832 -0.3953 1.1321 
100.305 0.413 -0.0191 -0.0828 0.4044 -0.6511 -0.3758 1.1414 
100.373 0.412 -0.0197 -0.0829 0.4030 -0.6563 -0.3755 1.1350 
100.405 0.413 -0.0202 -0.0833 0.4039 -0.6538 -0.3818 1.1373 
110.372 0.414 -0.0320 -0.0740 0.4065 -0.6146 -0.3840 1.0900 
110.404 0.413 -0.0319 -0.0737 0.4054 -0.6158 -0.3892 1.0819 
110.438 0.414 -0.0319 -0.0736 0.4058 -0.6147 -0.3988 1.0797 
119.871 0.398 -0.0381 -0.0854 0.3865 -0.6402 -0.4108 1.1092 
130.435 0.471 -0.0408 -0.0752 0.4627 -0.6065 -0.3727 1.1413 
130.466 0.471 -0.0408 -0.0754 0.4632 -0.6132 -0.3559 1.1427 
130.500 0.469 -0.0406 -0.0752 0.4616 -0.6199 -0.3643 1.1388 
130.539 0.469 -0.0405 -0.0754 0.4614 -0.6252 -0.3552 1.1407 
138.599 0.434 -0.0320 -0.0768 0.4256 -0.6199 -0.3999 1.1264 
138.633 0.433 -0.0321 -0.0766 0.4253 -0.6270 -0.3928 1.1309 
138.666 0.434 -0.0321 -0.0765 0.4259 -0.6175 -0.4135 1.1270 
138.701 0.436 -0.0321 -0.0768 0.4281 -0.6097 -0.4119 1.1316 
149.230 0.411 -0.0535 -0.0750 0.4006 -0.6653 -0.4418 1.1400 
149.262 0.411 -0.0534 -0.0749 0.4004 -0.6695 -0.4377 1.1413 
149.330 0.413 -0.0534 -0.0755 0.4028 -0.6557 -0.4352 1.1407 
158.395 0.451 -0.0478 -0.0747 0.4426 -0.6457 -0.3729 1.1595 
158.430 0.452 -0.0476 -0.0749 0.4430 -0.6393 -0.3761 1.1623 
158.495 0.450 -0.0468 -0.0747 0.4417 -0.6379 -0.3780 1.1601 
165.528 0.440 -0.0521 -0.0756 0.4300 -0.6364 -0.3294 1.1387 
165.560 0.440 -0.0521 -0.0756 0.4299 -0.6384 -0.3272 1.1324 
165.596 0.441 -0.0523 -0.0759 0.4315 -0.6289 -0.3273 1.1371 
165.629 0.441 -0.0523 -0.0759 0.4311 -0.6329 -0.3215 1.1389 
