hand to make:0.095
timestamp, distance, x, y, z, rx, ry, rz
93.288 0.439 -0.0095 -0.0716 0.4333 0.3242 -0.2267 -1.2973 
93.321 0.444 -0.0092 -0.0721 0.4381 0.2996 -0.1741 -1.2947 
93.353 0.441 -0.0088 -0.0715 0.4352 0.3319 -0.2068 -1.2926 
116.017 0.404 -0.0411 -0.0650 0.3968 0.3845 -0.2358 -1.2411 
128.946 0.448 -0.0461 -0.0376 0.4442 0.4176 -0.2629 -1.3032 
128.979 0.455 -0.0408 -0.0258 0.4522 0.4656 -0.2506 -1.3324 
129.012 0.466 -0.0340 -0.0093 0.4651 0.4624 -0.2485 -1.3809 
145.946 0.449 -0.0488 -0.0937 0.4365 0.4799 -0.2750 -1.1020 
145.979 0.447 -0.0490 -0.0990 0.4328 0.4784 -0.3034 -1.0874 
150.045 0.437 -0.0336 -0.0833 0.4280 0.4437 -0.3719 -1.1665 
150.075 0.434 -0.0343 -0.0779 0.4256 0.4546 -0.3913 -1.1835 
150.112 0.432 -0.0340 -0.0674 0.4250 0.4615 -0.4107 -1.2220 
150.144 0.433 -0.0324 -0.0522 0.4290 0.4789 -0.3938 -1.2819 
154.108 0.446 -0.0189 -0.0153 0.4456 0.4353 -0.2654 -1.4298 
154.140 0.451 -0.0174 -0.0143 0.4508 0.4089 -0.2620 -1.4323 
154.179 0.451 -0.0174 -0.0170 0.4506 0.4274 -0.2505 -1.4282 
158.640 0.518 -0.0495 -0.0916 0.5076 0.2809 -0.1730 -1.2010 
158.674 0.511 -0.0486 -0.0956 0.4995 0.3527 -0.2389 -1.1823 
158.709 0.508 -0.0482 -0.0958 0.4964 0.0791 0.2948 -1.1291 
