hand to marker: 0.10
timestamp dist x y z rx ry rz
43.630 0.381 -0.0354 -0.0734 0.3722 0.1292 -0.3967 -1.9790 
43.667 0.382 -0.0353 -0.0735 0.3733 0.1292 -0.3947 -1.9771 
43.698 0.380 -0.0349 -0.0733 0.3717 0.1221 -0.4051 -1.9773 
43.730 0.381 -0.0348 -0.0734 0.3727 0.1192 -0.4005 -1.9778 
50.097 0.363 -0.0403 -0.0862 0.3507 0.1090 -0.4596 -1.9450 
50.165 0.363 -0.0407 -0.0877 0.3500 0.1132 -0.4537 -1.9413 
50.197 0.362 -0.0406 -0.0881 0.3485 0.1071 -0.4671 -1.9362 
50.231 0.362 -0.0408 -0.0890 0.3487 0.1126 -0.4576 -1.9340 
57.332 0.350 -0.0439 -0.0893 0.3361 0.1738 -0.4851 -1.9364 
57.363 0.350 -0.0438 -0.0891 0.3357 0.1708 -0.4878 -1.9385 
57.396 0.353 -0.0441 -0.0897 0.3383 0.1762 -0.4616 -1.9408 
57.431 0.350 -0.0437 -0.0890 0.3362 0.1753 -0.4853 -1.9399 
57.462 0.351 -0.0436 -0.0890 0.3368 0.1668 -0.4908 -1.9339 
62.629 0.369 -0.0426 -0.0809 0.3580 0.1872 -0.4017 -1.9550 
62.663 0.368 -0.0425 -0.0808 0.3561 0.1770 -0.4285 -1.9583 
62.695 0.368 -0.0424 -0.0812 0.3564 0.1854 -0.4095 -1.9554 
62.727 0.368 -0.0424 -0.0816 0.3566 0.1874 -0.4072 -1.9555 
62.761 0.366 -0.0419 -0.0814 0.3548 0.1876 -0.4232 -1.9569 
67.927 0.365 -0.0439 -0.0841 0.3523 0.1288 -0.4965 -1.9409 
67.959 0.365 -0.0430 -0.0844 0.3525 0.1351 -0.4929 -1.9425 
67.997 0.366 -0.0417 -0.0846 0.3537 0.1308 -0.4960 -1.9389 
73.627 0.362 -0.0511 -0.0900 0.3464 0.1836 -0.4375 -1.9098 
73.660 0.361 -0.0513 -0.0904 0.3457 0.1953 -0.4400 -1.9047 
73.725 0.360 -0.0517 -0.0908 0.3448 0.1843 -0.4379 -1.9084 
80.124 0.323 -0.0315 -0.0913 0.3081 0.2838 -0.4719 -1.9149 
80.160 0.322 -0.0313 -0.0911 0.3070 0.2820 -0.4901 -1.9122 
80.224 0.323 -0.0311 -0.0915 0.3077 0.2814 -0.4895 -1.9154 
85.558 0.338 -0.0369 -0.0818 0.3258 0.3261 -0.4643 -1.9257 
85.592 0.339 -0.0370 -0.0822 0.3270 0.3273 -0.4543 -1.9284 
85.624 0.338 -0.0368 -0.0820 0.3254 0.3248 -0.4625 -1.9259 
85.660 0.337 -0.0366 -0.0820 0.3251 0.3203 -0.4664 -1.9252 
91.223 0.343 -0.0246 -0.0771 0.3338 0.3205 -0.4199 -1.9201 
91.258 0.344 -0.0246 -0.0773 0.3339 0.3182 -0.4327 -1.9194 
91.290 0.344 -0.0246 -0.0776 0.3345 0.3293 -0.4123 -1.9196 
91.324 0.343 -0.0246 -0.0776 0.3335 0.3251 -0.4149 -1.9224 
96.222 0.343 -0.0314 -0.0719 0.3335 0.4057 -0.3288 -1.8549 
96.254 0.343 -0.0314 -0.0725 0.3341 0.4178 -0.3032 -1.8550 
96.289 0.342 -0.0311 -0.0725 0.3332 0.4179 -0.3168 -1.8534 
96.324 0.342 -0.0309 -0.0727 0.3332 0.4070 -0.3218 -1.8564 
96.356 0.342 -0.0307 -0.0727 0.3327 0.4250 -0.3089 -1.8537 
102.490 0.353 -0.0467 -0.0797 0.3403 0.3889 -0.3226 -1.8640 
102.521 0.353 -0.0466 -0.0799 0.3409 0.3937 -0.3184 -1.8624 
102.556 0.353 -0.0464 -0.0799 0.3409 0.3851 -0.3225 -1.8674 
102.588 0.353 -0.0460 -0.0799 0.3405 0.3927 -0.3219 -1.8652 
102.620 0.353 -0.0457 -0.0799 0.3404 0.3897 -0.3294 -1.8623 
108.155 0.358 -0.0418 -0.0871 0.3444 0.4102 -0.3312 -1.7972 
108.186 0.359 -0.0418 -0.0877 0.3458 0.4115 -0.3108 -1.7945 
108.221 0.359 -0.0415 -0.0878 0.3454 0.4079 -0.3138 -1.7939 
108.253 0.357 -0.0410 -0.0876 0.3437 0.3989 -0.3367 -1.7975 
108.287 0.358 -0.0409 -0.0879 0.3443 0.4121 -0.3213 -1.7942 
114.953 0.337 -0.0218 -0.0726 0.3282 0.4390 -0.2966 -1.8223 
114.987 0.336 -0.0219 -0.0728 0.3276 0.4423 -0.2876 -1.8223 
115.020 0.336 -0.0219 -0.0731 0.3272 0.4430 -0.2904 -1.8187 
115.053 0.335 -0.0218 -0.0732 0.3261 0.4486 -0.2938 -1.8201 
115.085 0.335 -0.0217 -0.0735 0.3259 0.4503 -0.2842 -1.8197 
115.119 0.334 -0.0216 -0.0736 0.3253 0.4457 -0.2903 -1.8210 
